zip,city,state,cat,pr_1,rv_1,pr_2,rv_2,pr_3,rv_3,pr_4,rv_4,avg_lat,avg_long
10249,New York,NY,shopping,0,0,0,0,0,0,0,0,40.71,-73.99
10249,New York,NY,localservices,0,0,0,0,0,0,0,0,40.71,-73.99
10256,New York,NY,restaurants,0,0,0,0,0,0,0,0,40.71,-73.99
10256,New York,NY,shopping,0,0,0,0,0,0,0,0,40.71,-73.99
10256,New York,NY,localservices,0,0,0,0,0,0,0,0,40.71,-73.99
10257,New York,NY,restaurants,0,0,0,0,0,0,0,0,40.71,-73.99
10257,New York,NY,shopping,0,0,0,0,0,0,0,0,40.71,-73.99
10257,New York,NY,localservices,0,0,0,0,0,0,0,0,40.71,-73.99
10258,New York,NY,restaurants,0,0,0,0,0,0,0,0,40.71,-73.99
10258,New York,NY,shopping,0,0,0,0,0,0,0,0,40.71,-73.99
10258,New York,NY,localservices,0,0,0,0,0,0,0,0,40.71,-73.99
10259,New York,NY,restaurants,0,0,0,0,0,0,0,0,40.71,-73.99
10259,New York,NY,shopping,0,0,0,0,0,0,0,0,40.71,-73.99
10259,New York,NY,localservices,0,0,0,0,0,0,0,0,40.71,-73.99
10260,New York,NY,restaurants,0,0,0,0,0,0,0,0,40.71,-73.99
10260,New York,NY,shopping,0,0,0,0,0,0,0,0,40.71,-73.99
10260,New York,NY,localservices,0,0,0,0,0,0,0,0,40.71,-73.99
10261,New York,NY,restaurants,0,0,0,0,0,0,0,0,40.71,-73.99
10261,New York,NY,shopping,0,0,0,0,0,0,0,0,40.71,-73.99
10261,New York,NY,localservices,0,0,0,0,0,0,0,0,40.71,-73.99
10265,New York,NY,restaurants,0,0,0,0,0,0,0,0,40.71,-73.99
10265,New York,NY,shopping,0,0,0,0,0,0,0,0,40.71,-73.99
10265,New York,NY,localservices,0,0,0,0,0,0,0,0,40.71,-73.99
10268,New York,NY,restaurants,0,0,0,0,0,0,0,0,40.71,-73.99
10268,New York,NY,shopping,0,0,0,0,0,0,0,0,40.71,-73.99
10268,New York,NY,localservices,0,0,0,0,0,0,0,0,40.71,-73.99
10269,New York,NY,restaurants,0,0,0,0,0,0,0,0,40.71,-73.99
10269,New York,NY,shopping,0,0,0,0,0,0,0,0,40.71,-73.99
10269,New York,NY,localservices,0,0,0,0,0,0,0,0,40.71,-73.99
10270,New York,NY,restaurants,0,0,0,0,0,0,0,0,40.71,-73.99
10270,New York,NY,shopping,0,0,0,0,0,0,0,0,40.71,-73.99
10270,New York,NY,localservices,0,0,0,0,0,0,0,0,40.71,-73.99
10271,New York,NY,restaurants,3,114,0,0,1,523,0,0,40.71,-74.01
10271,New York,NY,shopping,0,0,0,0,1,10,0,0,40.71,-74.01
10271,New York,NY,localservices,0,0,0,0,0,0,0,0,40.71,-74.01
10272,New York,NY,restaurants,0,0,0,0,0,0,0,0,40.71,-73.99
10272,New York,NY,shopping,0,0,0,0,0,0,0,0,40.71,-73.99
10272,New York,NY,localservices,0,0,0,0,0,0,0,0,40.71,-73.99
10273,New York,NY,restaurants,0,0,0,0,0,0,0,0,40.71,-73.99
10273,New York,NY,shopping,0,0,0,0,0,0,0,0,40.71,-73.99
10273,New York,NY,localservices,0,0,0,0,0,0,0,0,40.71,-73.99
10274,New York,NY,restaurants,0,0,0,0,0,0,0,0,40.71,-73.99
10274,New York,NY,shopping,0,0,0,0,0,0,0,0,40.71,-73.99
10274,New York,NY,localservices,0,0,0,0,0,0,0,0,40.71,-73.99
10275,New York,NY,restaurants,0,0,0,0,0,0,0,0,40.71,-73.99
10275,New York,NY,shopping,0,0,0,0,0,0,0,0,40.71,-73.99
10275,New York,NY,localservices,0,0,0,0,0,0,0,0,40.71,-73.99
10276,New York,NY,restaurants,0,0,0,0,0,0,0,0,40.71,-73.99
10276,New York,NY,shopping,0,0,0,0,0,0,0,0,40.71,-73.99
10276,New York,NY,localservices,0,0,0,0,0,0,0,0,40.71,-73.99
10277,New York,NY,restaurants,0,0,0,0,0,0,0,0,40.71,-73.99
10277,New York,NY,shopping,0,0,0,0,0,0,0,0,40.71,-73.99
10277,New York,NY,localservices,0,0,0,0,0,0,0,0,40.71,-73.99
