zip,city,state,avg_lat,avg_long,rest_pr_1,rest_rv_1,rest_pr_2,rest_rv_2,rest_pr_3,rest_rv_3,rest_pr_4,rest_rv_4,shop_pr_1,shop_rv_1,shop_pr_2,shop_rv_2,shop_pr_3,shop_rv_3,shop_pr_4,shop_rv_4,loca_pr_1,loca_rv_1,loca_pr_2,loca_rv_2,loca_pr_3,loca_rv_3,loca_pr_4,loca_rv_4,num_of_returns,agi,taxable_pen_ann_amount,real_estate_tax_amount,pers_prop_tax_amount,net_invsmnt_inc_tax_amount,total_all_a_cols,total_chosen_a_cols,affluence,tot_pr_1,tot_rv_1,tot_pr_2,tot_rv_2,tot_pr_3,tot_rv_3,tot_pr_4,tot_rv_4,zero_check
68935,Edgar,NE,40.3705682605505,-97.9699809104204,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,15818,908,41,0,0,54746,16767,55.89,1,1,0,0,0,0,0,0,2
68940,Funk,NE,40.46,-99.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,11015,150,57,12,0,40563,11234,56.17,0,0,0,0,0,0,0,0,0
68941,Glenvil,NE,40.5,-98.25,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,340,18810,568,66,11,0,66766,19455,57.220588235294116,0,0,1,2,0,0,0,0,3
68958,Loomis,NE,40.47,-99.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,290,16209,803,85,17,0,56367,17114,59.01379310344828,0,0,0,0,0,0,0,0,0
69022,Cambridge,NE,40.28212075,-100.16497385,1,5,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,700,36544,2421,203,46,0,130914,39214,56.02,1,5,1,4,0,0,0,0,11
69034,Indianola,NE,40.23502,-100.41684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,410,19402,742,55,15,0,67262,20214,49.302439024390246,0,0,0,0,0,0,0,0,0
89008,Caliente,NV,37.61285663907273,-114.51546266267131,2,52,1,9,0,0,0,0,0,0,0,0,2,2,0,0,1,1,0,0,0,0,0,0,450,22221,4797,144,39,0,73274,27201,60.44666666666666,3,53,1,9,2,2,0,0,70
89110,Las Vegas,NV,36.17127206268953,-115.06756263870373,40,2047,20,1243,0,0,0,0,9,96,24,298,4,23,1,12,4,42,1,2,0,0,0,0,30210,1116578,87839,5512,2144,111,3878558,1212184,40.12525653757034,53,2185,45,1543,4,23,1,12,3866
89130,Las Vegas,NV,36.24178965198925,-115.22754847424538,33,1696,20,4517,1,192,0,0,11,108,24,622,7,62,1,22,3,16,5,67,1,5,0,0,16010,914536,110693,9219,2392,253,3536530,1037093,64.77782635852593,47,1820,49,5206,9,259,1,22,7413
89412,Black Rock City,NV,40.94966856445325,-119.442715763034,3,82,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,4466,0,0,0,0,12090,4466,44.66,3,82,0,0,0,0,1,2,88
89423,Minden,NV,38.964451537104395,-119.77079177990557,11,366,13,1248,1,87,0,0,4,19,11,76,2,21,2,10,1,2,3,24,1,3,0,0,6010,464768,84006,7520,1275,512,1897325,558081,92.85873544093178,16,387,27,1348,4,111,2,10,1905
89445,Winnemucca,NV,40.96683794904773,-117.7384060731011,21,434,14,1700,0,0,0,0,7,85,10,31,3,7,0,0,1,2,0,0,0,0,0,0,6230,391161,28232,2427,842,55,1456109,422717,67.85184590690207,29,521,24,1731,3,7,0,0,2315
