zip,city,state,avg_lat,avg_long,rest_pr_1,rest_rv_1,rest_pr_2,rest_rv_2,rest_pr_3,rest_rv_3,rest_pr_4,rest_rv_4,shop_pr_1,shop_rv_1,shop_pr_2,shop_rv_2,shop_pr_3,shop_rv_3,shop_pr_4,shop_rv_4,loca_pr_1,loca_rv_1,loca_pr_2,loca_rv_2,loca_pr_3,loca_rv_3,loca_pr_4,loca_rv_4
90047,Los Angeles,CA,33.961591159174965,-118.30874906295486,23,923,8,786,0,0,0,0,5,30,9,71,1,43,1,26,5,25,5,26,0,0,0,0
90062,Los Angeles,CA,34.008548236004216,-118.30713192847806,18,692,7,520,0,0,0,0,2,36,5,52,0,0,0,0,3,44,2,11,0,0,0,0
91042,Tujunga,CA,34.249969567870046,-118.2825858944862,19,2154,13,2053,0,0,0,0,11,182,11,235,1,2,0,0,5,140,2,45,0,0,0,0
91325,Northridge,CA,34.23178179763237,-118.52311050640994,25,4098,18,3888,0,0,0,0,11,449,14,398,1,11,2,10,4,116,2,20,0,0,0,0
91768,Pomona,CA,34.066365859442435,-117.77375526200169,23,2330,11,656,2,1719,0,0,9,76,5,51,3,64,2,6,3,19,0,0,2,44,0,0
91790,West Covina,CA,34.06391296809766,-117.9338044939032,50,5851,23,7686,0,0,0,0,14,208,46,1271,10,408,1,23,4,134,6,148,1,40,0,0
91792,West Covina,CA,34.02562780609388,-117.90555642405519,44,5274,15,2409,0,0,0,0,7,259,20,609,0,0,1,35,6,103,1,7,0,0,0,0
92056,Oceanside,CA,33.1985109693554,-117.29079808318748,48,6341,24,7194,0,0,0,0,11,321,20,567,4,43,1,21,5,95,4,116,0,0,1,21
92067,Rancho Santa Fe,CA,33.006252496535865,-117.198279799204,3,130,4,514,2,177,1,305,1,2,3,59,3,22,0,0,0,0,0,0,0,0,0,0
92121,San Diego,CA,32.894822847453305,-117.18621149151926,67,7368,18,5388,1,199,0,0,10,114,36,1263,11,221,3,69,0,0,10,407,2,61,0,0
92230,Cabazon,CA,33.92389958832849,-116.80544810642849,14,882,5,931,1,301,0,0,1,14,35,1508,31,655,10,85,0,0,0,0,1,18,0,0
92242,Earp,CA,34.153046767578104,-114.31340693017599,2,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92411,San Bernardino,CA,34.121955658078086,-117.31683305986871,19,796,4,353,0,0,0,0,3,21,3,23,1,5,0,0,0,0,0,0,0,0,0,0
92532,Lake Elsinore,CA,33.71,-117.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92571,Perris,CA,33.8172518411207,-117.22744737288204,34,2050,17,832,0,0,0,0,9,84,12,163,3,13,0,0,1,7,1,10,0,0,0,0
92704,Santa Ana,CA,33.717104466406674,-117.90430690525784,46,4084,11,752,1,559,0,0,10,318,20,515,3,7,3,29,3,56,2,217,0,0,0,0
92831,Fullerton,CA,33.874452163378486,-117.88955777301857,54,14769,15,7431,0,0,0,0,10,227,45,2234,3,141,2,14,4,96,3,249,1,67,0,0
92865,Orange,CA,33.82639882264482,-117.8387132896904,51,10146,20,5258,1,1899,1,17,25,736,39,1934,6,185,0,0,10,544,8,380,2,17,0,0
93105,Santa Barbara,CA,34.438241892055395,-119.73622289329691,24,2514,44,8845,3,304,0,0,12,126,41,1010,11,89,7,57,1,29,7,198,4,37,1,9
93117,Goleta,CA,34.5,-120.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,27,1,24,2,21,0,0
93243,Lebec,CA,34.910237125613996,-118.91483124177984,16,1505,5,767,0,0,0,0,2,8,1,2,1,15,1,1,0,0,0,0,0,0,1,1
93261,Richgrove,CA,35.803779999999996,-119.10604599999999,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93268,Taft,CA,35.146323877411874,-119.45539668186632,12,176,15,396,0,0,0,0,1,4,2,9,1,5,0,0,0,0,0,0,0,0,0,0
93313,Bakersfield,CA,35.3279571624441,-119.028227850795,0,0,1,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
