zip,city,state,cat,pr_1,rv_1,pr_2,rv_2,pr_3,rv_3,pr_4,rv_4,avg_lat,avg_long,db_city
03087,Windham,NH,localservices,1,2,0,0,0,0,0,0,42.81129554238733,-71.29603755326156,Windham
03261,Northwood,NH,restaurants,1,23,6,267,0,0,0,0,43.20351986219656,-71.17629813921238,Northwood
03261,Northwood,NH,shopping,1,2,4,21,0,0,0,0,43.207798578720165,-71.19143046455133,Northwood
03261,Northwood,NH,localservices,0,0,0,0,0,0,0,0,43.24286995,-71.247445,Northwood
03607,South Acworth,NH,restaurants,0,0,0,0,0,0,0,0,43.18,-72.32,South Acworth
03607,South Acworth,NH,shopping,0,0,0,0,0,0,0,0,43.18,-72.32,South Acworth
03607,South Acworth,NH,localservices,0,0,0,0,0,0,0,0,43.18,-72.32,South Acworth
03837,Gilmanton Iron Works,NH,restaurants,0,0,0,0,0,0,0,0,43.43,-71.34,Gilmanton Iron Works
03837,Gilmanton Iron Works,NH,shopping,0,0,0,0,0,0,0,0,43.43,-71.34,Gilmanton Iron Works
03837,Gilmanton Iron Works,NH,localservices,0,0,0,0,0,0,0,0,43.43,-71.34,Gilmanton Iron Works
03853,Mirror Lake,NH,restaurants,0,0,0,0,0,0,0,0,43.63,-71.28,Mirror Lake
03853,Mirror Lake,NH,shopping,0,0,0,0,0,0,0,0,43.63,-71.28,Mirror Lake
03853,Mirror Lake,NH,localservices,0,0,0,0,0,0,0,0,43.61293,-71.27883,Mirror Lake
07016,Cranford,NJ,restaurants,14,628,36,4588,6,769,0,0,40.653671191500194,-74.30214959427458,Cranford
07016,Cranford,NJ,shopping,3,26,18,194,5,32,1,17,40.65439820663292,-74.30157162367917,Cranford
07016,Cranford,NJ,localservices,0,0,6,27,2,27,0,0,40.65301064734609,-74.30008705082916,Cranford
07046,Mountain Lakes,NJ,restaurants,1,83,3,290,2,235,0,0,40.88554502890687,-74.44985252067157,Mountain Lakes
07046,Mountain Lakes,NJ,shopping,0,0,1,1,0,0,0,0,40.88474076666666,-74.44279426666667,Mountain Lakes
07046,Mountain Lakes,NJ,localservices,0,0,1,1,0,0,0,0,40.88741424971801,-74.45039138444311,Mountain Lakes
07078,Millburn,NJ,restaurants,4,173,4,454,1,61,0,0,40.72194206420854,-74.3264565600093,Short Hills
07078,Millburn,NJ,shopping,1,10,7,67,6,26,1,4,40.724981053249756,-74.33260980199711,Short Hills
07078,Millburn,NJ,localservices,0,0,1,9,0,0,0,0,40.724539152170976,-74.32658050546124,Short Hills
07423,Ho Ho Kus,NJ,restaurants,2,74,8,513,2,328,0,0,40.99718357472558,-74.1101913338226,Ho Ho Kus
07423,Ho Ho Kus,NJ,shopping,0,0,3,8,2,35,0,0,40.99738452907978,-74.11017356293087,Ho Ho Kus
07423,Ho Ho Kus,NJ,localservices,0,0,0,0,0,0,0,0,40.99752095460808,-74.11040673363968,Ho Ho Kus
07438,Oak Ridge,NJ,restaurants,7,141,8,312,0,0,0,0,41.029439240264395,-74.50665901378112,Oak Ridge
07438,Oak Ridge,NJ,shopping,0,0,4,15,1,2,0,0,41.036895981466465,-74.50213605457076,Oak Ridge
07438,Oak Ridge,NJ,localservices,0,0,0,0,0,0,0,0,41.041677743479234,-74.49351374810014,Oak Ridge
07444,Pequannock,NJ,restaurants,10,267,7,955,0,0,0,0,40.96639438757429,-74.28971744298552,Pompton Plains
07444,Pequannock,NJ,shopping,3,19,10,90,4,29,0,0,40.96918036235318,-74.28888609480528,Pompton Plains
07444,Pequannock,NJ,localservices,0,0,0,0,0,0,0,0,40.968186096507885,-74.29187151257881,Pompton Plains
07647,Northvale,NJ,restaurants,13,245,14,759,2,117,0,0,41.01090844099549,-73.94756889013784,Northvale
07647,Northvale,NJ,shopping,3,8,7,36,3,22,0,0,41.00981324105149,-73.94625677455385,Northvale
07647,Northvale,NJ,localservices,1,1,0,0,0,0,0,0,41.00890812166636,-73.9475810443093,Northvale
07751,Morganville,NJ,restaurants,2,22,6,375,1,131,0,0,40.35783880585169,-74.28650051613832,Morganville
07751,Morganville,NJ,shopping,0,0,10,122,0,0,1,9,40.355911200406695,-74.28362939890343,Morganville
07751,Morganville,NJ,localservices,0,0,2,6,0,0,1,9,40.35967852581167,-74.27457662701748,Morganville
07760,Rumson,NJ,restaurants,4,104,11,1299,10,1252,0,0,40.36705496915818,-73.98709142884826,Rumson
07760,Rumson,NJ,shopping,0,0,2,42,2,4,0,0,40.371392179184106,-73.99497937293161,Rumson
07760,Rumson,NJ,localservices,0,0,0,0,0,0,0,0,40.37456,-74.0095125,Rumson
07821,Andover,NJ,restaurants,3,8,5,229,1,94,0,0,40.971823380405134,-74.73957295667562,Andover
07821,Andover,NJ,shopping,2,17,1,25,1,6,0,0,40.98716327612158,-74.73385509373074,Andover
07821,Andover,NJ,localservices,0,0,0,0,0,0,0,0,40.969887775552664,-74.73232537845746,Andover
07927,Cedar Knolls,NJ,restaurants,5,112,4,269,1,269,0,0,40.81915221757717,-74.45397931438077,Cedar Knolls
07927,Cedar Knolls,NJ,shopping,2,51,0,0,0,0,0,0,40.810420433333334,-74.46029655,Cedar Knolls
07927,Cedar Knolls,NJ,localservices,0,0,0,0,0,0,0,0,40.81974475176274,-74.45561469762866,Cedar Knolls
07932,Florham Park,NJ,restaurants,7,166,15,1396,1,24,0,0,40.78706995968783,-74.39427967207203,Florham Park
07932,Florham Park,NJ,shopping,2,11,5,46,1,11,0,0,40.78839357449653,-74.39432588365763,Florham Park
07932,Florham Park,NJ,localservices,1,6,2,23,0,0,0,0,40.784510425405436,-74.39472393990677,Florham Park
08007,Barrington,NJ,restaurants,4,66,3,120,0,0,0,0,39.86951717182312,-75.05114103771476,Barrington
08007,Barrington,NJ,shopping,1,2,0,0,0,0,0,0,39.87150532619224,-75.05079483471904,Barrington
08007,Barrington,NJ,localservices,0,0,1,1,0,0,0,0,39.87122682628272,-75.0513390437138,Barrington
08061,Mount Royal,NJ,restaurants,1,24,0,0,0,0,0,0,39.8099,-75.21124,Mount Royal
08061,Mount Royal,NJ,shopping,0,0,0,0,0,0,0,0,39.8,-75.21,Mount Royal
08061,Mount Royal,NJ,localservices,0,0,0,0,0,0,0,0,39.808685,-75.21348595,Mount Royal
08066,Paulsboro,NJ,restaurants,5,52,6,111,0,0,0,0,39.82717275190556,-75.23718009935398,Paulsboro
08066,Paulsboro,NJ,shopping,1,1,2,8,0,0,0,0,39.827688183333336,-75.23512473333334,Paulsboro
08066,Paulsboro,NJ,localservices,0,0,0,0,0,0,0,0,39.8255533,-75.21851666666667,Paulsboro
08073,Rancocas,NJ,restaurants,0,0,0,0,0,0,0,0,40.01,-74.87,Rancocas
08073,Rancocas,NJ,shopping,0,0,0,0,0,0,0,0,40.01,-74.87,Rancocas
08073,Rancocas,NJ,localservices,0,0,0,0,0,0,0,0,40.01064,-74.86735,Rancocas
08080,Sewell,NJ,restaurants,15,311,27,1364,1,49,0,0,39.76034630541127,-75.10416898947044,Sewell
08080,Sewell,NJ,shopping,3,6,13,72,4,22,0,0,39.75881288580968,-75.10403486346893,Sewell
08080,Sewell,NJ,localservices,1,1,2,7,1,5,1,3,39.76281078666087,-75.11224830707008,Sewell
08081,Sicklerville,NJ,restaurants,23,553,21,1202,0,0,0,0,39.73411001953399,-74.9992532531436,Sicklerville
08081,Sicklerville,NJ,shopping,3,7,17,78,1,2,0,0,39.739487238025845,-74.9990993237971,Sicklerville
08081,Sicklerville,NJ,localservices,1,3,0,0,0,0,0,0,39.733287150512396,-74.99054027499258,Sicklerville
08105,Camden,NJ,restaurants,10,145,5,107,2,15,0,0,39.94838735272425,-75.08674056348268,Camden
08105,Camden,NJ,shopping,1,1,1,1,0,0,0,0,39.946897682700566,-75.08933731017274,Camden
08105,Camden,NJ,localservices,0,0,0,0,0,0,0,0,39.95160888102887,-75.09925645784706,Camden
