zip,city,state,avg_lat,avg_long,rest_pr_1,rest_rv_1,rest_pr_2,rest_rv_2,rest_pr_3,rest_rv_3,rest_pr_4,rest_rv_4,shop_pr_1,shop_rv_1,shop_pr_2,shop_rv_2,shop_pr_3,shop_rv_3,shop_pr_4,shop_rv_4,loca_pr_1,loca_rv_1,loca_pr_2,loca_rv_2,loca_pr_3,loca_rv_3,loca_pr_4,loca_rv_4,range_of_agi,num_of_returns,agi,taxable_pen_ann_amount,real_estate_tax_amount,pers_prop_tax_amount,net_invsmnt_inc_tax_amount,total_all_a_cols,total_chosen_a_cols,affluence,zipcode
10022,New York,NY,40.76,-73.97,45,4076,61,13174,12,2758,9,1422,7,258,34,1064,32,1004,15,271,7,99,15,382,6,97,9,281,21.0,19840.0,10038198.0,142232.0,160433.0,297.0,86516.0,49834884.0,10427676.0,525.5885080645162,10022
10023,New York,NY,40.78,-73.98,25,3967,70,18492,24,9048,3,682,7,54,61,1849,44,1386,1,10,3,28,21,294,13,603,3,33,21.0,34070.0,11766656.0,234217.0,201361.0,507.0,92572.0,63507640.0,12295313.0,360.88385676548285,10023
10024,New York,NY,40.8,-73.97,21,1444,97,38643,9,2072,2,324,8,252,68,2564,38,1129,4,82,7,183,27,549,8,153,1,15,21.0,30410.0,9984610.0,193542.0,169631.0,430.0,64163.0,53556459.0,10412376.0,342.3997369286419,10024
10025,New York,NY,40.8,-73.97,52,5672,75,13945,2,419,0,0,17,259,64,1915,16,287,2,15,12,205,24,475,9,155,3,61,21.0,45610.0,6826320.0,260994.0,106320.0,474.0,19760.0,34699933.0,7213868.0,158.16417452313092,10025
10026,New York,NY,40.8,-73.95,19,291,42,13228,2,249,1,1,6,88,8,276,3,45,3,23,4,63,5,216,3,20,2,14,21.0,18040.0,1217909.0,33835.0,7494.0,295.0,834.0,5533421.0,1260367.0,69.86513303769401,10026
10027,New York,NY,40.81,-73.95,43,1321,61,12881,4,3187,1,2,17,129,46,730,12,124,3,25,4,30,10,269,2,11,1,12,21.0,27180.0,1662633.0,71450.0,12561.0,207.0,1639.0,7397756.0,1748490.0,64.33002207505518,10027
10028,New York,NY,40.78,-73.95,25,2740,64,17826,19,3426,4,223,11,163,53,1858,22,637,7,132,7,102,22,261,6,75,3,31,21.0,25100.0,9061775.0,159706.0,152515.0,267.0,68630.0,48932757.0,9442893.0,376.2108764940239,10028
10029,New York,NY,40.79,-73.94,69,2939,37,3666,2,1025,2,13,25,265,29,273,4,29,5,37,9,120,9,59,3,13,1,9,21.0,35060.0,1769278.0,62664.0,11377.0,303.0,2673.0,7566830.0,1846295.0,52.66100969766115,10029
10030,New York,NY,40.82,-73.94,14,700,12,1718,1,104,0,0,4,73,7,76,2,57,0,0,4,22,4,40,0,0,0,0,21.0,13630.0,568242.0,21380.0,2198.0,125.0,305.0,2297641.0,592250.0,43.45194424064564,10030
10031,New York,NY,40.83,-73.95,57,2192,39,7553,0,0,0,0,7,42,15,204,5,30,0,0,8,83,9,141,1,10,1,10,21.0,29340.0,1210910.0,41906.0,4815.0,193.0,476.0,4845263.0,1258300.0,42.88684389911385,10031
