,range_of_agi,num_of_returns,agi,taxable_pen_ann_amount,real_estate_tax_amount,pers_prop_tax_amount,net_invsmnt_inc_tax_amount,total_all_a_cols,total_chosen_a_cols,affluence,zipcode
179,21,4170,326692,18342,9539,593,73,1418517,355239,85.18920863309353,01543
180,21,17900,2045476,83747,46790,2720,2600,9547327,2181333,121.86217877094973,01545
181,21,8270,362305,23109,6133,499,49,1378473,392095,47.41172914147521,01550
182,21,2200,180799,5728,4581,269,36,783840,191413,87.00590909090909,01560
183,21,340,19146,1627,504,22,0,74671,21299,62.64411764705882,01561
184,21,5800,341044,25468,6051,484,46,1373217,373093,64.32637931034483,01562
185,21,4120,384417,22474,12437,630,260,1745184,420218,101.99466019417476,01564
186,21,3410,296463,19199,9035,532,185,1323913,325414,95.42932551319647,01566
187,21,3840,432787,14946,15551,691,418,2036751,464393,120.93567708333333,01568
188,21,6910,514056,29629,15293,993,204,2227488,560175,81.0672937771346,01569
189,21,8750,468554,32418,9103,646,285,1873315,511006,58.400685714285714,01570
190,21,5460,336529,24119,5778,543,66,1362950,367035,67.22252747252747,01571
191,21,9750,1208426,39292,35565,1461,1666,5683455,1286410,131.93948717948717,01581
192,21,3770,288088,24982,9258,437,135,1256606,322900,85.64986737400531,01583
193,21,2100,139988,12563,3039,226,57,584671,155873,74.2252380952381,01585
194,21,5020,337483,19674,6482,501,188,1422784,364328,72.57529880478087,01588
195,21,4560,477303,22629,14474,772,428,2194912,515606,113.07149122807017,01590
196,21,11320,670125,53777,15623,976,306,2756086,740807,65.44231448763252,01602
197,21,9480,386090,19709,6004,503,0,1451050,412306,43.492194092827006,01603
198,21,17990,849812,49639,14099,1159,125,3305658,914834,50.85236242356865,01604
199,21,11970,526982,28827,8741,825,98,2066202,565473,47.24085213032581,01605
200,21,10610,617638,45352,13331,906,71,2524774,677298,63.83581526861452,01606
201,21,4190,176099,7100,2560,319,0,668139,186078,44.410023866348446,01607
202,21,1630,65187,1445,797,28,154,260614,67611,41.47914110429448,01608
203,21,7440,561769,31965,13462,637,1304,2532173,609137,81.87325268817204,01609
204,21,9010,270027,8012,1579,209,0,930220,279827,31.057380688124308,01610
205,21,1180,59810,3732,1033,117,0,233255,64692,54.82372881355932,01611
206,21,2310,201476,14714,7486,341,94,907298,224111,97.01774891774892,01612
207,21,16810,1641820,83509,53864,2339,2017,7543587,1783549,106.1004759071981,01701
208,21,15960,934059,37451,19426,1055,738,3901303,992729,62.20106516290727,01702
209,21,320,29821,811,801,35,0,128864,31468,98.3375,01718
210,21,2640,348236,10363,11160,416,898,1660323,371073,140.55795454545455,01719
211,21,10480,1643419,46357,59961,1856,3641,7842097,1755234,167.48416030534352,01720
212,21,8890,880940,38758,29920,1319,584,4060283,951521,107.03273340832396,01721
213,21,6900,979819,48714,35285,1218,2203,4747395,1067239,154.67231884057972,01730
214,21,800,49420,1943,269,13,0,167425,51645,64.55625,01731
215,21,2510,393033,11419,16188,566,886,1929680,422092,168.16414342629483,01740
216,21,2510,601726,15038,23799,614,2503,3114566,643680,256.44621513944224,01741
217,21,8710,2402352,66745,72540,1925,15257,12611351,2558819,293.7794489092997,01742
218,21,260,25879,621,717,24,0,115529,27241,104.77307692307693,01745
219,21,7060,837442,35929,32957,1244,801,3992450,908373,128.66473087818696,01746
220,21,3060,254346,13515,7685,405,88,1130290,276039,90.20882352941176,01747
221,21,7880,1434984,30591,45711,1771,3508,7211415,1516565,192.45748730964468,01748
222,21,10330,780205,43357,24874,1198,422,3430355,850056,82.29002904162633,01749
223,21,20290,1488058,72160,33063,2090,955,6363506,1596326,78.67550517496304,01752
224,21,5470,429059,21323,17695,615,104,1895442,468796,85.70310786106033,01754
225,21,3110,363852,13393,11434,568,545,1709966,389792,125.33504823151125,01756
226,21,14270,1023481,60156,27163,1616,607,4390556,1113023,77.99740714786265,01757
227,21,17690,2090031,76756,59972,2462,3730,9877591,2232951,126.22673827020915,01760
228,21,2030,722040,10124,20919,541,4108,3684665,757732,373.2669950738916,01770
229,21,4880,1050213,20007,28841,1125,4371,5367008,1104557,226.3436475409836,01772
230,21,2880,965032,31836,25827,602,5272,5068123,1028569,357.14201388888887,01773
231,21,3420,472735,17919,19707,691,624,2317901,511676,149.61286549707603,01775
232,21,8180,2019538,44288,68488,2140,7484,10514550,2141938,261.85061124694374,01776
233,21,6800,2118651,42443,54378,1672,14291,10456948,2231435,328.1522058823529,01778
234,21,21590,1636919,93778,31720,1979,1699,7003499,1766095,81.80152848540992,01801
235,21,13270,1283250,67787,30397,1763,1365,5741410,1384562,104.33775433308215,01803
236,21,16250,2804656,88291,84266,3206,6731,13982073,2987150,183.82461538461538,01810
237,21,16570,1254878,71047,34794,2040,692,5428894,1363451,82.2843089921545,01821
238,21,13310,1604924,79554,48569,2089,1803,7346983,1736939,130.49879789631856,01824
239,21,16740,1126732,73024,29039,1900,466,4773042,1231161,73.54605734767026,01826
240,21,1630,191560,9142,6832,306,226,897656,208066,127.6478527607362,01827
241,21,12600,717257,48843,15381,1081,222,2939319,782784,62.12571428571429,01830
242,21,12110,665109,39279,14625,1176,174,2716314,720363,59.484971098265895,01832
243,21,4190,443403,21231,14713,704,212,2053490,480263,114.62124105011934,01833
244,21,3390,283183,20806,9520,500,98,1255911,314107,92.65693215339233,01834
245,21,7550,503599,32927,12269,827,144,2121302,549766,72.81668874172185,01835
246,21,2350,62744,732,68,9,0,202115,63553,27.043829787234042,01840
247,21,23920,691727,19303,4083,414,0,2317067,715527,29.913336120401336,01841
