zip,city,state,cat,pr_1,rv_1,pr_2,rv_2,pr_3,rv_3,pr_4,rv_4,avg_lat,avg_long
10456,Bronx,NY,none,0,0,1,173,0,0,0,0,40.829745,-73.91821999999999
10457,Bronx,NY,none,1,30,0,0,0,0,0,0,40.8470732,-73.8972239
10458,Bronx,NY,none,20,1186,30,4830,1,233,0,0,40.85717531284923,-73.88816569726146
10459,Bronx,NY,none,14,145,3,38,0,0,0,0,40.82412574205135,-73.89416950685819
10460,Bronx,NY,none,0,0,1,88,0,0,0,0,40.84635957688625,-73.88514691857961
10461,Bronx,NY,none,16,1197,23,3610,1,42,0,0,40.84672780409462,-73.84278794973422
10462,Bronx,NY,none,9,1325,17,2350,0,0,0,0,40.84262430847056,-73.85747151779661
10463,Bronx,NY,none,8,747,34,5406,0,0,0,0,40.88374172350365,-73.90565508630397
10464,Bronx,NY,none,1,50,9,1739,8,2141,0,0,40.85029638550814,-73.78933983353197
10465,Bronx,NY,none,5,243,16,2420,1,18,0,0,40.82589537771865,-73.82190024632823
10466,Bronx,NY,none,8,373,4,394,0,0,0,0,40.891489596855834,-73.84533550818229
10467,Bronx,NY,none,7,485,3,236,0,0,0,0,40.87624831542991,-73.87361460613367
10468,Bronx,NY,none,7,545,4,961,0,0,0,0,40.865442054545454,-73.90196988181818
10469,Bronx,NY,none,10,250,14,1052,0,0,0,0,40.86819530580186,-73.84757002108682
10470,Bronx,NY,none,8,123,6,387,1,17,0,0,40.900218612123275,-73.86204263978911
10471,Bronx,NY,none,5,438,10,934,1,206,0,0,40.899938390747494,-73.9004031987637
10472,Bronx,NY,none,3,132,5,454,0,0,0,0,40.83010754336181,-73.86291598463646
10473,Bronx,NY,none,1,35,0,0,0,0,0,0,40.8228,-73.84867
10474,Bronx,NY,none,1,18,1,32,0,0,0,0,40.8142957952881,-73.88665059204101
10475,Bronx,NY,none,1,44,5,739,0,0,0,0,40.8681365897647,-73.82739122556684
10301,Staten Island,NY,none,4,558,10,2344,1,157,0,0,40.63531854483357,-74.08920506833998
10302,Staten Island,NY,none,10,636,11,1572,1,44,0,0,40.626987879773445,-74.13870362762673
10303,Staten Island,NY,none,2,95,5,474,0,0,0,0,40.6263945768283,-74.15986535749877
10304,Staten Island,NY,none,3,246,8,946,4,294,1,176,40.61744847280425,-74.08340554253483
10305,Staten Island,NY,none,1,63,19,3665,4,518,0,0,40.59872600948592,-74.08002221033608
10306,Staten Island,NY,none,10,580,27,3005,3,267,0,0,40.57317575001908,-74.11423579478627
10307,Staten Island,NY,none,4,76,14,697,1,94,1,167,40.51287560081358,-74.24235656594483
10308,Staten Island,NY,none,11,308,21,1569,3,468,0,0,40.54704470917875,-74.14998396736821
10309,Staten Island,NY,none,2,52,20,1697,5,426,0,0,40.53148486491099,-74.22505321905298
10310,Staten Island,NY,none,9,329,28,2090,2,281,0,0,40.63015142138251,-74.11674830713345
10311,Staten Island,NY,none,0,0,1,15,0,0,0,0,40.60544,-74.17962
10312,Staten Island,NY,none,13,435,28,2057,2,65,0,0,40.54666992163065,-74.17414667850562
10314,Staten Island,NY,none,3,429,24,3145,0,0,0,0,40.600735643644825,-74.15405225759594
