zip,city,state,cat,pr_1,rv_1,pr_2,rv_2,pr_3,rv_3,pr_4,rv_4,avg_lat,avg_long
10128,New York,NY,localservices,10,101,21,385,9,96,3,46,40.78,-73.95
10129,New York,NY,restaurants,0,0,0,0,0,0,0,0,40.71,-73.99
10129,New York,NY,shopping,0,0,0,0,0,0,0,0,40.71,-73.99
10129,New York,NY,localservices,0,0,0,0,0,0,0,0,40.71,-73.99
10130,New York,NY,restaurants,0,0,0,0,0,0,0,0,40.71,-73.99
10130,New York,NY,shopping,0,0,0,0,0,0,0,0,40.71,-73.99
10130,New York,NY,localservices,0,0,0,0,0,0,0,0,40.71,-73.99
10131,New York,NY,restaurants,0,0,0,0,0,0,0,0,40.71,-73.99
10131,New York,NY,shopping,0,0,0,0,0,0,0,0,40.71,-73.99
10131,New York,NY,localservices,0,0,0,0,0,0,0,0,40.71,-73.99
10132,New York,NY,restaurants,0,0,0,0,0,0,0,0,40.71,-73.99
10132,New York,NY,shopping,0,0,0,0,0,0,0,0,40.71,-73.99
10132,New York,NY,localservices,0,0,0,0,0,0,0,0,40.71,-73.99
10133,New York,NY,restaurants,0,0,0,0,0,0,0,0,40.71,-73.99
10133,New York,NY,shopping,0,0,0,0,0,0,0,0,40.71,-73.99
10133,New York,NY,localservices,0,0,0,0,0,0,0,0,40.71,-73.99
10138,New York,NY,restaurants,0,0,0,0,0,0,0,0,40.71,-73.99
10138,New York,NY,shopping,0,0,0,0,0,0,0,0,40.71,-73.99
10138,New York,NY,localservices,0,0,0,0,0,0,0,0,40.71,-73.99
10149,New York,NY,restaurants,0,0,0,0,0,0,0,0,40.76,-73.98
10149,New York,NY,shopping,0,0,0,0,0,0,0,0,40.76,-73.98
10149,New York,NY,localservices,0,0,0,0,0,0,0,0,40.76,-73.98
10150,New York,NY,restaurants,0,0,0,0,0,0,0,0,40.71,-73.99
10150,New York,NY,shopping,0,0,0,0,0,0,1,3,40.71,-73.99
10150,New York,NY,localservices,0,0,0,0,0,0,0,0,40.71,-73.99
10151,New York,NY,restaurants,0,0,0,0,0,0,0,0,40.71,-73.99
10151,New York,NY,shopping,0,0,0,0,0,0,0,0,40.71,-73.99
10151,New York,NY,localservices,0,0,0,0,0,0,0,0,40.71,-73.99
10152,New York,NY,restaurants,0,0,0,0,0,0,0,0,40.76,-73.97
10152,New York,NY,shopping,0,0,0,0,0,0,0,0,40.76,-73.97
10152,New York,NY,localservices,0,0,0,0,0,0,0,0,40.76,-73.97
10153,New York,NY,restaurants,0,0,0,0,0,0,0,0,40.76,-73.97
10153,New York,NY,shopping,0,0,1,5,2,995,2,6,40.76,-73.97
10153,New York,NY,localservices,0,0,0,0,1,982,0,0,40.76,-73.97
10154,New York,NY,restaurants,1,421,0,0,0,0,0,0,40.76,-73.97
10154,New York,NY,shopping,0,0,0,0,0,0,0,0,40.76,-73.97
10154,New York,NY,localservices,0,0,0,0,0,0,0,0,40.76,-73.97
10155,New York,NY,restaurants,0,0,0,0,0,0,0,0,40.71,-73.99
10155,New York,NY,shopping,0,0,0,0,0,0,0,0,40.71,-73.99
10155,New York,NY,localservices,0,0,0,0,0,0,0,0,40.71,-73.99
10156,New York,NY,restaurants,0,0,0,0,0,0,0,0,40.71,-73.99
10156,New York,NY,shopping,0,0,0,0,0,0,0,0,40.71,-73.99
10156,New York,NY,localservices,0,0,0,0,0,0,0,0,40.71,-73.99
10157,New York,NY,restaurants,0,0,0,0,0,0,0,0,40.71,-73.99
10157,New York,NY,shopping,0,0,0,0,0,0,0,0,40.71,-73.99
10157,New York,NY,localservices,0,0,0,0,0,0,0,0,40.71,-73.99
10158,New York,NY,restaurants,0,0,0,0,0,0,0,0,40.71,-73.99
10158,New York,NY,shopping,0,0,0,0,0,0,0,0,40.71,-73.99
10158,New York,NY,localservices,0,0,0,0,0,0,0,0,40.71,-73.99
10159,New York,NY,restaurants,0,0,0,0,0,0,0,0,40.71,-73.99
10159,New York,NY,shopping,0,0,0,0,0,0,0,0,40.71,-73.99
10159,New York,NY,localservices,0,0,0,0,0,0,0,0,40.71,-73.99
10160,New York,NY,restaurants,0,0,0,0,0,0,0,0,40.71,-73.99
10160,New York,NY,shopping,0,0,0,0,0,0,0,0,40.71,-73.99
10160,New York,NY,localservices,0,0,0,0,0,0,0,0,40.71,-73.99
10161,New York,NY,restaurants,0,0,0,0,0,0,0,0,40.71,-73.99
10161,New York,NY,shopping,0,0,0,0,0,0,0,0,40.71,-73.99
10161,New York,NY,localservices,0,0,0,0,0,0,0,0,40.71,-73.99
10162,New York,NY,restaurants,0,0,0,0,0,0,0,0,40.77,-73.95
10162,New York,NY,shopping,0,0,0,0,0,0,0,0,40.77,-73.95
10162,New York,NY,localservices,0,0,0,0,0,0,0,0,40.77,-73.95
10163,New York,NY,restaurants,0,0,0,0,0,0,0,0,40.71,-73.99
10163,New York,NY,shopping,0,0,1,1,0,0,0,0,40.71,-73.99
10163,New York,NY,localservices,0,0,0,0,0,0,0,0,40.71,-73.99
10164,New York,NY,restaurants,0,0,0,0,0,0,0,0,40.71,-73.99
10164,New York,NY,shopping,0,0,0,0,0,0,0,0,40.71,-73.99
10164,New York,NY,localservices,0,0,0,0,0,0,0,0,40.71,-73.99
10165,New York,NY,restaurants,0,0,1,60,0,0,0,0,40.75,-73.98
10165,New York,NY,shopping,0,0,1,26,0,0,0,0,40.75,-73.98
10165,New York,NY,localservices,0,0,0,0,0,0,0,0,40.75,-73.98
10166,New York,NY,restaurants,1,7,3,524,2,449,0,0,40.71,-73.99
10166,New York,NY,shopping,0,0,0,0,2,10,0,0,40.71,-73.99
10166,New York,NY,localservices,0,0,0,0,0,0,0,0,40.71,-73.99
10167,New York,NY,restaurants,1,81,1,3,0,0,0,0,40.75,-73.97
10167,New York,NY,shopping,0,0,0,0,0,0,0,0,40.75,-73.97
10167,New York,NY,localservices,0,0,0,0,0,0,0,0,40.75,-73.97
10168,New York,NY,restaurants,2,441,1,89,0,0,0,0,40.75,-73.98
10168,New York,NY,shopping,0,0,4,182,0,0,0,0,40.75,-73.98
10168,New York,NY,localservices,0,0,1,57,0,0,0,0,40.75,-73.98
10169,New York,NY,restaurants,1,31,14,1529,0,0,1,110,40.75,-73.98
